tbl,idx,stat
note_profile_text_type,note_profile_text_type_0_text_type,25 3
main_story_race_bonus_condition,main_story_race_bonus_condition_0_group_id,19 1
main_story_part,main_story_part_0_section_id,10 5
single_mode_14_deck_info,,5
single_mode_11_facility_state,single_mode_11_facility_state_0_state_id,49 1
single_mode_11_facility_state,single_mode_11_facility_state_0_facility_id,49 9
single_mode_ao_offset,,5
single_mode_chara_program,single_mode_chara_program_0_chara_id,225 2
single_mode_scenario_update,single_mode_scenario_update_0_scenario_id,2 1
rating_race_phase_schedule,,8
item_group,item_group_0_group_id,39 20
chara_motion_act,chara_motion_act_0_chara_id,36 3
chara_motion_act,chara_motion_act_0_chara_id_1_command_name,36 3 1
team_building_rank_reward_group,team_building_rank_reward_group_0_reward_group_id,41 2
transfer_event_data,,26
omakase_command,omakase_command_0_command_id,69 1
single_mode_10_audience_effect,,3
single_mode_hide_story_control,single_mode_hide_story_control_0_support_card_id,12 12
shop_banner,shop_banner_0_product_id,10 1
race_player_camera,race_player_camera_0_category,122 25
race_player_camera,race_player_camera_0_prefab_name,122 1
legend_race_cutt_chara_data,legend_race_cutt_chara_data_0_sub_id_1_chara_num,1 1 1
piece_data,,259
nickname_hide,nickname_hide_0_chara_id,1 1
support_card_data,support_card_data_0_chara_id,541 4
rental_deck_card,rental_deck_card_0_rental_deck_id,50 5
jobs_point_limit,,1
map_event_map_point,map_event_map_point_0_event_id,10 10
challenge_match_boss_npc,,42
main_story_race_bonus,main_story_race_bonus_0_group_id,29 2
single_mode_13_schedule,single_mode_13_schedule_0_meeting_turn,6 1
single_mode_cook_success_effect,,20
single_mode_scenario_group,single_mode_scenario_group_0_group_id,84 4
single_mode_scenario_group,single_mode_scenario_group_0_scenario_id,84 6
race_jikkyo_race,,880
race_jikkyo_base_venus,race_jikkyo_base_venus_0_mode,1431 111
race_jikkyo_base,race_jikkyo_base_0_mode,7919 610
collect_raid_story,collect_raid_story_0_collect_raid_id_1_episode_index_id,12 3 1
collect_raid_story,collect_raid_story_0_collect_raid_id,12 3
character_system_text,character_system_text_0_character_id,32561 212
character_system_text,sqlite_autoindex_character_system_text_1,32561 212 1
jobs_reward_sort_disp_order,jobs_reward_sort_disp_order_0_item_category_1_item_id,40 20 1
story_event_roulette_bingo,story_event_roulette_bingo_0_character_id,225 5
story_event_roulette_bingo,story_event_roulette_bingo_0_story_event_id,225 5
story_event_roulette_bingo,sqlite_autoindex_story_event_roulette_bingo_1,225 5 5 1
single_mode_14_check_point_pt,single_mode_14_check_point_pt_0_check_point_type,3 1
single_mode_11_gain_training_pt,,40
single_mode_09_learning_bonus,,2
single_mode_story_guide,,13
announce_character,,178
heroes_league_rank_reward_group,heroes_league_rank_reward_group_0_reward_group_id,85 6
collect_raid_dress_color,collect_raid_dress_color_0_collect_raid_id,4 4
card_data,card_data_0_get_piece_id,260 1
card_data,card_data_0_chara_id,260 2
team_stadium_evaluation_rate,sqlite_autoindex_team_stadium_evaluation_rate_1,24 8 1
honor_data,,1368
story_event_point_reward,story_event_point_reward_0_story_event_id,5885 109
single_mode_14_check_point_pt_effect,,33
hide_chara_text_scenario,hide_chara_text_scenario_0_character_id,72 2
single_mode_recommend,,14
single_mode_analyze_condition,,5
single_mode_race_live,,247
race_track,,17
legend_race_boss_npc,legend_race_boss_npc_0_chara_id,129 2
circle_stamp_data,sqlite_autoindex_circle_stamp_data_1,133 1
banner_data,banner_data_0_group_id,994 59
map_event_data,,1
training_challenge_exam,,81
mini_bg_chara_motion,mini_bg_chara_motion_0_bg_id,832 24
training_cutt_flash,,1
transfer_event_detail,transfer_event_detail_0_transfer_event_id,186 8
single_mode_13_team_sp_level,single_mode_13_team_sp_level_0_group_type,25 7
single_mode_13_team_sp_level,single_mode_13_team_sp_level_0_group_type_1_level,25 7 1
single_mode_free_shop_bg,,5
live_dress_restrict_data,live_dress_restrict_data_0_music_id,2 2
price_change,price_change_0_group_id,104 3
chara_data,,169
ultimate_race_unlock_condition,,2
map_event_mini_motion,map_event_mini_motion_0_event_id,3 3
homestory_hip_offset,homestory_hip_offset_0_story_id_1_chara_id,90 2 1
single_mode_13_member,single_mode_13_member_0_chara_id,5 1
single_mode_11_facility_kind,,6
announce_data,,305
champions_stand_motion,sqlite_autoindex_champions_stand_motion_1,18 6 1
chara_type,chara_type_0_target_scene_1_target_cut,24505 1751 219
chara_type,sqlite_autoindex_chara_type_1,24505 1
team_stadium_raw_score,team_stadium_raw_score_0_race_score_name_id,96 14
team_stadium_raw_score,team_stadium_raw_score_0_condition_type,96 9
challenge_match_raw_point,challenge_match_raw_point_0_race_point_name_id,93 24
challenge_match_raw_point,challenge_match_raw_point_0_condition_type,93 11
story_event_bonus_card,story_event_bonus_card_0_story_event_id,400 8
story_event_bonus_card,sqlite_autoindex_story_event_bonus_card_1,400 8 2 1
single_mode_13_top_bg_chara,,7
single_mode_11_pioneer_pt_bonus,single_mode_11_pioneer_pt_bonus_0_check_point_type,5 1
single_mode_09_chip,single_mode_09_chip_0_board_id,13 4
single_mode_restrict_support,single_mode_restrict_support_0_support_card_id,11 2
single_mode_restrict_support,single_mode_restrict_support_0_scenario_id,11 2
